"Object","ParentObject","SQLTemplate","KeyFieldList","DisplayInterface","CUIDFieldName","CUIDCodeFieldName","QuickFindSQL","QuickFindPrompt","QuickFindIDbased"
"ProjectSLA","","Select top 1 * FROM ProjectSLA {where}","ProjSLAID","frmProjectSLADetails","","","","","0"
"projectteam","","select top 1 * from projectteam {where}","teamid","frmprojectteamdetails","","","","","0"
"pubhol","","select top 1 * from publicholiday {where}","publicholidayid","frmpublicholidaydetails","","","","","0"
"qa","","select top 1 * from qdata {where}","qdataid","frmqa","","","","","0"
"QMark","","select top 1 * from QuestionMarks {where}","QMarkID","frmQuestionareMark","","","","","0"
"Qtemplate","","select top 1 * from QuestionareTemplates {where}","QuestionareID","frmQuestionareTempDetails","","","","","0"
"qualification","","select top 1 * from qualification {where}","qualificationid","frmqualificationdetails","","","","","0"
"qualOutcome","","select top 1 * from outcomequal2 {where}","outcomeid","frmpfqualificationsoutcome","","","","","0"
"question","","select top 1 * from Questiondetails {where}","questid","frmquestiondetails","","","","","0"
"questionare","","select top 1 * from Questionaredetails {where}","questionareDetailID","frmQuestionareDetails","","","","","0"
"QuickContact","","select top 1 * from EntityContact {where}","entityContactID","frmcontactdetailsQuickupdate","","","","","0"
"QuickEntity","","select top 1 * from Entity {where}","EntityID","frmentitydetailquickupdate","","","","","0"
"RateCardDetails","","select top 1 * from ratecard {where}","RateCardID","frmRateCardDetails","","","","","0"
"recsec11","","select top 1 * from risk_domestic_detail {where}","lineid","frmassessmentsectiona1","","","","","0"
"recsecb","","select top 1 * from risk_domestic_detail {where}","lineid","frmassesssectionb","","","","","0"
"recurringactions","","select top 1 * from RecurringActions {where}","recurringactionid","frmRecurringActionsDetail","","","","","0"
"repairjob","","select top 1 * from projects {where}","projectid","frmrepairjobdetails","","","","","0"
"repairjobstock","","select top 1 * from Job_Repair_Stock {where}","lineid","frmrepairjobitem","","","","","0"
"reportdocument","","select top 1 * from entitydocument {where}","entitydocumentid","frmReportDocdetails","","","","","0"
"riskass","","select top 1 * from risk_assessment {where}","assessmentid","frmassessmentdetails","","","","","0"
"riskassessmentdetail","","select top 1 * from Risk_Assessment_Master {where}","RiskAssessmentID","frmRiskAssessmentDetails","","","","","0"
"riskassessmentitem1","","select top 1 * from Risk_Assessment_Item {where}","RiskAssessmentItemID","frmRiskAssessmentItem1","","","","","0"
"riskassessmentitem2","","select top 1 * from Risk_Assessment_Item {where}","RiskAssessmentItemID","frmRiskAssessmentItem2","","","","","0"
"riskassessmentitem3","","select top 1 * from Risk_Assessment_Item {where}","RiskAssessmentItemID","frmRiskAssessmentItem3","","","","","0"
"riskbilltemplate","","select top 1 * from Risk_Bill_Template {where}","BillTemplateID","frmRiskBillTemplateDetails","","","","","0"
"riskdom","","select top 1 *  from risk_domestic {where}","domesticid","frmassessmentresidential","","","","","0"
"RiskQuote","","select top 1 * from QuotationRequest {where}","ID","frmRiskQuote","","","","","0"
"risksec1","","select top 1 * from risk_domestic_detail {where}","lineid","frmassesssectiona","","","","","0"
"risksurveyor","","select top 1 * from risk_surveyor {where}","risksurveyorid","frmrisksurveyor","","","","","0"
"risktemplatebillitem","","select top 1 * from Risk_Bill_Item {where}","BillDetailID","frmRiskBillTemplateItem","","","","","0"
"risktemplatecat","","select top 1 * from Risk_Template_Category {where}","RiskTemplateCategoryID","frmRiskTemplateCategory","","","","","0"
"risktemplatedetails","","select top 1 * from Risk_Template  {where}","RiskTemplateID","frmrisktemplatedetails","","","","","0"
"risktemplateitem","","select top 1 * from Risk_Template_Item {where}","RiskTemplateItemID","frmRiskTemplateItem","","","","","0"
"risktemplatesection","","select top 1 * from Risk_Template_Section {where}","RiskTemplateSectionID","frmRiskTemplateSection","","","","","0"
"salesforecast","","select top 1 * from SalesForecastdetails {where}","salesForecastID","frmsalesforecastingdetails","","","","","0"
"salesinfo","","select top 1 * from SalesInfo {where}","salesinfoid","frmsalesinfodetail","","","","","0"
"sheduleemail","","select top 1 * from emaillog {where}","emaillogid","frmSheduleEmail","","","","","0"
"skinconfig","","select top 1 * from Skin {where}","SkinID","frmSkinConfig","","","","","0"
"SLAClientTime","","Select top 1 * from SLAClientTime {where}","SLAClientID","frmClientSLATimeDetails","","","","","0"
"sladetails","","select top 1 * from sla {where}","slaid","frmsladetails","","","","","0"
"smsbulk","","select top 1 * from entitycontactsms {where}","smsid","frmsmsbulkportal","","","","","0"
"smtpclient","","select top 1 * from smtpclient {where}","smtpclientid","frmmailerclientdetails","","","","","0"
"speople","","select top 1 * from staff {where}","staffid","frmspeopledetails","","","","","0"
"staff","","select top 1 * from staff {where}","staffid","frmstaffdetails","","","","","0"
"StaffCommission","","select top 1 * from StaffCommission {where}","CommissionID","frmStaffCommissionDetail","","","","","0"
"staffdevelop","","select top 1 * from StaffDevelopmentDetails {where}","staffdevelopmentid","frmstaffdevelopmentdetails","","","","","0"
"subscription","","select top 1 * from subscriptions {where}","SubscriptionID","frmSubscriptionDetail","","","","","0"
"supplier","","select top 1 * from entity {where}","entityid","frmsupplierdetails","","","","","0"
"supplierContact","","select top 1 * from entitycontact {where}","entitycontactid","frmsuppliercontactdetails","","","","","0"
"sysSetup","","select top 1 * from sysSetup {where}","sysSetupid","frmTreeview","","","","","0"
"tablefriendlynames","","select top 1 * from ExcelImportTables {where}","ExcelImportTableID","frmExcelImportTableManager","","","","","0"
"taskdetails","","select top 1 * from taskreminder {where}","taskreminderid","frmtasksdetails","","","","","0"
"TicketAddress","","select top 1 * from TicketAddress {where}","TicketAddressID","frmTicketAddress","","","","","0"
"Ticketesc","","select top 1 * from Ticketescalations {where}","TicketIDs","frmticketescalations","","","","","0"
"ticketlog","","select top 1 * from Tickets{where}","ticketID","frmLogTicket","","","","","0"
"ticketlogNew","","select top 1 * from Tickets{where}","ticketID","frmLogTicketnew","","","","","0"
"ticketstatuslog","","select top 1 * from ticketstatus_log {where}","ID","frmticketStatusdetails","","","","","0"
"timesheet","","select top 1 * from timesheet {where}","timesheetid","frmtimesheetdetails","","","","","0"
"timesheetdevappt","","select top 1 * from devappointment {where}","devapptid","frmdevapptdetailstimesheet","","","","","0"
"UserLevelDetails","","select top 1 * from userlevel {where}","userlevelid","frmuserleveldetails","","","","","0"
"users","","select top 1 * from users {where}","userid","frmuserdetails","","","","","0"
"usertargetdetails","","select top 1 * from usertargets {where} ","usertargetid","frmusertargetdetails","","","","","0"
"vehicle","","select top 1 * from risk_vehicle {where}","vehicleid","frmassessmentvehcilereport","","","","","0"
"venue","","select top 1 * from venue {where}","venueid","frmvenuedetails","","","","","0"
"warehouse","","select top 1 * from warehouse {where}","warehouseid,branchid","frmdetailswarehouse","","","Select {top} WarehouseID, WarehouseID as [Group Code], [WarehouseName] as [Inventory Group], BranchID as [Branch Code], Case isnull(isdefault,0) when 0 then 'No' else 'Yes' end as [Default] From Warehouse Where (Warehouse.WarehouseID Like '%{replace}%') OR (Warehouse.WarehouseName Like '%{replace}%')","Type in part of the Inventory Group Code, Inventory Group Name to find an Inventory Group","0"
"Warehouse_Master","","select top 1 * from Warehouse_Master {where}","warehouseid","frmwarehousedetails","","","","","0"
