"TaxDeductionID","StockID","DeductionPerc","IsPaidByEmployer","TaxTemplateID","MaxValue","IsSalaryBased"
"1","66447","1.0","0","1","124.7800","0"
"3","66447","1.0","1","1","124.7800","0"
"4","66446","2.0","1","1","0.0000","0"
"5","66517","10.0","0","3","60000.0000","0"
