"TaxThresholdID","TaxTemplateID","MinEarnings","MaxEarnings","TaxRate","AppliedAfterValue","FlatTaxValue"
"1","1","0.0000","150000.0000","18.0","0.0000","0.0000"
"2","1","150000.0000","235000.0000","25.0","150000.0000","27000.0000"
"3","1","235000.0000","325000.0000","30.0","235000.0000","48250.0000"
"4","1","325000.0000","455000.0000","35.0","325000.0000","75250.0000"
"5","1","455000.0000","580000.0000","38.0","455000.0000","120750.0000"
"6","1","580000.0000","10000000.0000","40.0","580000.0000","168250.0000"
"7","3","20000.0000","120000.0000","10.0","500000.0000","100.0000"
