"stockBillID","StockID","BillingdetailsID","cost","Stock","qty"
"1","3004","1         ","600.0000","BAN001","2"
"2","2823","2         ","12.4161","CAP HORSE","10"
"3","3003","2         ","12.4211","123TEST","10"
