"MatrixSearchID","EntityID","MatrixItemID","1","2","3","4"
"1","-2","200","1","1","1","1"
"2","-2","201","0","0","0","0"
"3","-2","202","0","0","0","0"
"4","-2","203","0","0","0","0"
"5","-2","204","0","0","0","0"
"6","-2","205","0","0","0","0"
"7","-2","206","0","0","0","0"
"8","-2","207","0","0","0","0"
"9","-2","208","0","0","0","0"
