"OutputID","CalcUsing","DocID","StockID","Qty","SellingQty","ActualQty","Ratio","ContainerID","IsPrimaryOutput","Step","Status","ByProductOfID","ToolID","StockIDTrail","QtyPer"
"17705","Qty","12492","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17706","Qty","12493","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17707","Qty","12494","3067","15.0","15.0","15.0","1.0","4","1","","","","","",""
"17708","Qty","12495","3067","15.0","15.0","15.0","1.0","4","1","","","","","",""
"17709","Qty","12497","3067","15.0","15.0","15.0","1.0","4","1","","","","","",""
"17710","Qty","12498","3067","15.0","15.0","15.0","1.0","4","1","","","","","",""
"17711","Qty","12500","3740","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17712","Qty","12501","3740","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17713","Qty","12503","3740","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17714","Qty","12504","3741","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17715","Qty","12506","3741","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17716","Qty","12508","3741","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17717","Qty","12510","3144","500.0","500.0","500.0","1.0","4","1","","","","","",""
"17718","Qty","12514","3287","19800.0","19800.0","19800.0","1.0","3","1","","","","","",""
"17719","Qty","12516","3287","6950.0","6950.0","6950.0","1.0","3","1","","","","","",""
"17720","Qty","12520","3197","370.0","370.0","370.0","1.0","4","1","","","","","",""
"17721","Qty","12522","3197","350.0","350.0","350.0","1.0","4","1","","","","","",""
"17722","Qty","12526","3281","6950.0","6950.0","6950.0","1.0","4","1","","","","","",""
"17723","Qty","12528","3203","3150.0","3150.0","3150.0","1.0","3","1","","","","","",""
"17724","Qty","12529","3197","100.0","100.0","100.0","1.0","4","1","","","","","",""
"17725","Qty","12530","3197","1000.0","1000.0","1000.0","1.0","4","1","","","","","",""
"17726","Qty","12540","3197","150.0","150.0","150.0","1.0","4","1","","","","","",""
