"ModuleSyncId","ModuleID","StaffID","StartDate","EntryID","LastSyncDate"
"4","88","253","2010-05-05 00:00:00","00000000C630CF8BEB94BB46912A98F61BCFA71D0700CA7E4ECC3A0AE04C9D243047429108BD00000000005000006E5068090D3C1C4788F7076C142ACB24000000E504440000","2010-05-05 13:44:44"
"5","88","253","2010-05-07 00:00:00","00000000C630CF8BEB94BB46912A98F61BCFA71D0700CA7E4ECC3A0AE04C9D243047429108BD00000000005000006E5068090D3C1C4788F7076C142ACB24000000E504450000","2010-05-05 13:44:44"
"6","88","253","2010-05-06 00:00:00","00000000C630CF8BEB94BB46912A98F61BCFA71D0700CA7E4ECC3A0AE04C9D243047429108BD00000000005000006E5068090D3C1C4788F7076C142ACB24000000E504460000","2010-05-05 13:44:44"
"7","94","609","2011-05-10 00:00:00","000000003A1E1D87F24011469AD879CA835F66440700CA7E4ECC3A0AE04C9D243047429108BD00000000008500006E5068090D3C1C4788F7076C142ACB24000002F90C3F0000","2011-05-10 11:37:58"
"8","94","253","2011-06-14 00:00:00","000000003D677B239DCCB5498D314E3B7E1BA9060700CA7E4ECC3A0AE04C9D243047429108BD0000003A65B200006E5068090D3C1C4788F7076C142ACB24000002E80C360000","2011-06-13 11:12:06"
