"TaxTemplateID","DateCreated","ValidFrom","ValidTo","CreatedByID","StockID"
"1","2011-08-25 00:00:00","2011-01-01 00:00:00","2012-01-01 00:00:00","1","66445"
"2","2011-08-25 16:05:45","2010-01-01 00:00:00","2011-01-01 00:00:00","1",""
"3","2011-12-20 12:23:24","2011-12-20 00:00:00","2012-12-20 00:00:00","1","66517"
