"DetailRateID","ShippingLineID","CrossoverValue","Rate"
"274","5031","5000.0","1000.0000"
"275","5031","4000.0","750.0000"
"276","5031","3000.0","500.0000"
"277","5031","2000.0","250.0000"
"278","5031","0.0","100.0000"
"284","5036","100.0","3.5000"
"285","5036","300.0","4.7500"
"286","5036","500.0","5.2500"
"287","5043","5000.0","1000.0000"
"288","5043","4000.0","750.0000"
"289","5043","3000.0","500.0000"
"290","5043","2000.0","250.0000"
"291","5043","0.0","100.0000"
