"LineID","DocID","StockID","StockCode","StockDescription","Qty","DiscPerc","PriceEx","PriceIncl","TotalIncl","Comments","CostPriceEx","Timesheetid","DisburseID","RetainerID","Consolidate","ClientID","ProjectID","ContainerID","TaxTypeID","Tax","IsMarginBased","MarkupPerc","WastePerc","GroupName","ComponentOfLineID","Rank","SupplierID","DivisionID","ReportCategoryID","SerialNumber","StockAdjustDate","UseLandedCost","RentalLineID","PriceCategoryID"
"23","5","3108","00008746","202010AA+40250126 KOMBINATION RUNDSTVB.","0.0","0.0","9.69","11.0466","0.0000","","","","","","0","54546","","","","","0","","","","","","","","","","","0","",""
"108","1","3108","00008746","202010AA+40250126 KOMBINATION RUNDSTVB.","1.0","0.0","9.69","11.0500","11.0500","","0.0","","","","0","","","83","","","0","","","","","","","","","","","0","",""
"109","2","3108","00008746","202010AA+40250126 KOMBINATION RUNDSTVB.","1.0","0.0","9.69","11.0500","11.0500","","0.0","","","","0","","","83","","","0","","","","","","","","","","","0","",""
"111","7","3108","00008746","202010AA+40250126 KOMBINATION RUNDSTVB.","50.0","0.0","9.69","9.6900","484.5000","","0.0","","","","0","","","83","","","0","","","","","","","","","","","0","",""
"122","9","3340","00009135","202020AA+40250121 KOMBINATION RUNDSTVB.","5.0","0.0","9.14","10.4200","52.1000","","0.0","","","","0","","","83","","","0","","","","","","","","","","","0","",""
"128","10","33496","STK001","Demo Stock Item","500.0","0.0","3.5","3.9900","1995.0000","","0.0","","","","0","","","84","","","0","","","","","","","","","","","0","",""
"131","8","3108","00008746","202010AA+40250126 KOMBINATION RUNDSTVB.","1.0","0.0","10.0","10.0000","10.0000","test","0.0","","","","0","","","76","","","0","","","","","","","","","","","0","",""
"132","8","3111","00008749","202040AF+40250121 KOMBINATION RUNDSTVB.","1.0","0.0","85.0","85.0000","85.0000","","0.0","","","","0","","","76","","","0","","","","","","","","","","","0","",""
