"DocTemplateID","TemplateFileName","TemplatePath","DivisionID","TemplateDescr","isActive","ProjectID","TemplateCategoryID"
"3","","X:\Source\FusionCRM\v4.30\Main\templates\GXC Quote Template Oct 2011.doc","","GX Connect Quote","1","10081",""
"4","","X:\Source\FusionCRM\v4.30\Main\templates\Itec Connect Group Quote Template Oct 2011.doc","","ITEC Quote","1","10081",""
