"ticketID","userID","EntityID","tSubj","tMessage","projectID","tStatus","contactID","developerID","DateCaptured","LogByID","CallType","AccountStatus","TicketType","CurrentStatus","ProbType","ReminderDateTime","StockID","SerialNumber","SendEmail","SendSMS","Severity","issupplier","SerialNum","DateCompleted","DivID","ClientPO","CEDocID","StockTypeID","SubStockTypeID","ArrivalDate","AssessmentID","Reference","DispatchDate","ExternalLink","SuppDocAdded","isComplete","EstimatedCost","EscalationEmailSent","ResolutionType","tResults","SeverityID","SupplierID","AddEntityID","ContainerID","isBillable","TempID","JobID","IncludeSalesRep","IncludeAssignee","ModuleID","SubTaskID","Durations","Period","EntityTypeID","EntitySubtypeID"
"76","373","66860","","","","6272","","","2014-10-09 13:07:03","1","BookingsTechnical ","","6340","","installation problem ","2014-10-09 13:07:03","","","0","0","","0","","","5830","","","","","2014-10-09 00:00:00","","","2014-10-09 00:00:00","","0","0","","0","","","","","","","0","","","0","0","","","","","",""
"77","372","74003","","","","6272","","","2015-02-26 08:58:38","369","BookingsTechnical ","","","","","2015-02-26 08:58:38","","","0","0","","0","","","5830","","","","","2015-02-26 00:00:00","","","2015-02-26 00:00:00","","0","0","","0","","","","","","","0","","","0","0","","","","","",""
