"ProjDateID","ProjectID","ProjDate","Descr","isStartEndDate"
"1","10086","2012-03-12 00:00:00","Start Date","1"
"2","10086","2012-03-12 00:00:00","End Date","1"
"3","10087","2012-03-12 00:00:00","Start Date","1"
"4","10087","2012-03-12 00:00:00","End Date","1"
"15","","2012-03-28 09:40:00","Start Date","1"
"16","","2012-04-28 09:40:00","End Date","1"
