"ExcelImportTableID","TableID","TableName","FriendlyName","LinkedTable"
"1","2048062382","Entity","Company","EntityContact"
"2","1768393369","Staff","Staff",""
"3","880058221","AccStock","Resource Management",""
"4","694293533","Lead","Lead Management",""
"5","502292849","SalesPipeline","Sales Pipeline Management",""
"6","1644584947","Canvas","Canvass Manager",""
