"DocID","CreatedBy","DateCreated","DateCompleted","EntityID","DocType","DocStatus","Memo","PreviousDocID","SalesRepID","ClientPO","ModuleID","LastUpdated","ProjectID","ETA","DivisionID","Delivery","Courier","Address","City","Region","Country","Code","Currency","ROE","VAT","IsBatchInv","DisableRetainer","DocNo","IsOpeningBalance","IsNotAllocated","IsReversed","BankAccountID","PrintAltHeader","isbill","BatchID","UseEC","Period","RuleID","SentToPastel","PipelineID","AttentionOf","ApprovalID","PODocID","TaxTypeID"
"1","1","2009-12-17 15:07:52","2009-12-17 16:58:50","54546","Requisition","Accepted","","","1","","","2010-01-15 14:54:37","36","","2550","0","","","","","","","R","1.0","1.14","0","0","8","0","0","0","","0","","","0","19","","0","","73424","","214",""
"2","1","2009-12-17 15:27:17","2010-01-11 17:20:07","54545","Requisition","Accepted","","","1","","","2010-01-15 14:55:27","35","","2550","0","","","","","","","R","1.0","1.14","0","0","0","0","0","0","","0","","","0","19","","0","","82331","","215",""
"6","1","2009-12-17 16:04:04","","54546","DELETED Requisition","Open","","","1","","","2009-12-17 16:04:12","","","2550","0","","","","","","","R","1.0","1.14","0","0","0","0","0","0","","0","","","0","","","0","","","","",""
"7","1","2010-01-11 17:26:05","2010-01-11 17:26:36","60214","Requisition","Accepted","","","1","","","2010-01-15 14:57:18","","","2550","0","","","","","","","R","1.0","1.0","0","0","0","0","0","0","","0","","","0","19","","0","","","","216",""
"8","1","2010-01-15 09:29:17","2010-01-15 11:49:31","60215","Requisition","Accepted","","","317","","","2010-02-08 16:24:45","","","2550","0","","","","","","","R","1.0","1.0","0","0","0","0","0","0","","0","","","0","19","","0","","82216","1","213",""
"9","1","2010-01-19 11:07:49","","54547","Requisition","Open","","","1","635213521","","2010-01-19 11:10:05","","","2550","0","","","","","","","R","1.0","1.14","0","0","0","0","0","0","","0","","","0","","","0","","75424","","",""
"10","1","2010-02-05 13:35:07","","60390","Requisition","Open","","","1","","","2010-02-05 13:35:37","","","4280","0","","","","","","","R","1.0","1.14","0","0","0","0","0","0","","0","","","0","","","0","","82341","1","",""
"11","1","2010-03-25 14:11:22","","60404","Requisition","Open","","","1","","","2010-04-16 10:21:37","","","4280","0","","","","","","","R","1.0","1.14","0","0","1","0","0","0","","0","","","0","","","0","","82352","1","",""
