"UserDivisionID","UserID","DivisionID","IsDefault"
"8371","371","5830","0"
"8375","375","5830","0"
"8378","377","5830","0"
"8379","374","5830","0"
"8400","381","5830","0"
"8409","383","5830","0"
"8419","392","5830","0"
"8500","395","5830","0"
"8501","396","5830","0"
"8544","380","5830","0"
"8548","379","5830","0"
"8556","393","5830","0"
"8557","394","5830","0"
"8565","373","5830","0"
"8567","385","5830","0"
"8568","378","5830","0"
"8569","369","5830","0"
"8570","370","5830","0"
"8572","391","5830","0"
"8573","388","5830","0"
"8577","382","5830","0"
"8578","372","5830","0"
"8579","390","5830","0"
"8580","384","5830","0"
"8582","387","5830","0"
"8583","386","5830","0"
"8584","389","5830","0"
"8586","376","5830","0"
"8587","1","5830","0"
