"disID","StockTypeID","discount","EntityID"
"2","2482","12","1059"
"5","2481","12","1060"
"6","2470","50","1060"
"7","2640","23","54593"
"9","4160","50","54546"
"14","4371","20","60389"
"30","5428","5","65261"
"31","5428","5","65262"
"32","5428","5","65264"
"47","5463","46","65259"
"48","6277","20","66815"
"49","6277","10","66805"
"50","6277","25","66331"
"51","6278","25","66331"
"52","6279","25","66331"
