"MatrixItemID","MatrixGroupID","Item","Rank"
"200","54","AA","1"
"201","54","AB","2"
"202","54","AC","3"
"203","55","BA","1"
"204","55","BB","2"
"205","55","BC","3"
"206","56","CA","1"
"207","56","CB","2"
"208","56","CC","3"
