"IncreaseID","DocID","StockID","PriceEx","IncreasePerc","IncreaseDate","UserID"
"1","31","66572","4000.0000","100.0","2012-03-13 17:14:23","1"
"2","32","66476","350.0000","100.0","2012-03-13 17:14:27","1"
"3","32","66476","700.0000","10.0","2012-03-13 17:16:22","1"
