"CommReportID","RptRunDate","RptExpDate","DocsFrom","DocsTo"
"1","2009-06-07 00:00:00","2009-09-07 00:00:00","2009-05-01 00:00:00","2009-06-01 00:00:00"
"2","2009-05-07 00:00:00","2009-08-07 00:00:00","2009-04-01 00:00:00","2009-04-30 00:00:00"
"3","2009-08-13 00:00:00","2009-11-13 00:00:00","2009-08-01 00:00:00","2009-08-31 00:00:00"
"4","2009-08-04 00:00:00","2010-02-28 00:00:00","2009-10-01 00:00:00","2009-11-01 00:00:00"
"5","2012-02-08 00:00:00","2012-05-31 00:00:00","2009-12-01 00:00:00","2012-02-29 00:00:00"
