"SLAID","SLAResourceTypeID","IsAllProjects","IsAllTaskTypes","EntityID","EntityContactID","StartDate","EndDate","HoursPerMonth","HoursExpireAfter","SLADescription"
"1","","0","1","","","2011-01-01 00:00:00","2011-11-30 23:59:59","10.0","3.0",""
"2","","0","1","","","2011-12-01 00:00:00","2011-12-31 23:59:59","20.0","3.0",""
"3","","0","1","","","2012-01-01 00:00:00","2012-12-31 23:59:59","1.0","3.0",""
"4","","0","1","","","2012-01-01 00:00:00","2012-06-30 23:59:59","2.0","3.0",""
"5","","0","1","","","2012-01-01 00:00:00","2012-12-31 23:59:59","5.0","3.0",""
"6","","0","1","","","2012-01-01 00:00:00","2012-12-31 23:59:59","10.0","3.0",""
"7","","0","1","","","2012-02-01 00:00:00","2012-11-30 23:59:59","20.0","3.0",""
