"ShippingCurrencyID","ShippingDocID","Currency","ROE"
"471","101","US$","10.0"
"474","104","US$","8.0"
"475","105","US$","8.0"
"476","107","US$","8.0"
"477","108","US$","8.0"
"479","113","US$","10.0"
"480","115","US$","8.0"
