"Version","Path","Stream","Active"
"","\adodb.dll","unknown_value_please_contact_support","1"
"","\ChartFX.Lite.dll","unknown_value_please_contact_support","1"
"","\comctl32.dll","unknown_value_please_contact_support","1"
"","\Connect flash.swf","unknown_value_please_contact_support","1"
"","\dao360.dll","unknown_value_please_contact_support","1"
"","\financereportdash.tlb","unknown_value_please_contact_support","1"
"","\FusionCRM2.ico","unknown_value_please_contact_support","1"
"","\fusionmailerautologin.tlb","unknown_value_please_contact_support","1"
"","\FusionPrinter.exe","unknown_value_please_contact_support","1"
